_stopped_line,_level,_lost_level,_error,_game_error_reason,_help_predicted_value,_code,_game_progression,_date,_duration,_execution_speed_changed,_extra_lines_number,_type,_id,_help_prediction_confidence,_game_time,_object_id,_student,_execution_speed_multiplier
,"[""Level 2""]",,,,,"for _ in range(6): 
	sauter()
	avancer()
	
avancer()
gauche()
avancer()
gauche()
for _ in range(11):
		coup()
		avancer()
ouvrir()",,2024-11-13T12:29:57.028+01:00,PT28.252S,,,https://py-rates.org/xAPI/verbs/launched,67348ddd20a5ac0465212cf4,,PT434S,https://py-rates.org/xAPI/activities/programs/level-completed,s3MLpCY,3
,"[""Level 2""]",,"Ligne 7 : Il faut utiliser des parenthèses pour appeler une fonction, même si elles sont vides : 'avancer()'.",,,"for _ in range(6):
	sauter()
	avancer()
avancer()
gauche()
for _ in range(10):
	avancer
	
	
	",,2024-11-13T12:29:54.287+01:00,PT0.021S,,,https://py-rates.org/xAPI/verbs/launched,67348dc1327b0904782864a3,,PT170S,https://py-rates.org/xAPI/activities/programs/syntactic-error,qrCPbQ1,3
2,"[""Level 2""]",,,,,"droite()
for _ in range(4):
	sauter()
	avancer()",23,2024-11-13T12:29:45.928+01:00,PT11.025S,,,https://py-rates.org/xAPI/verbs/launched,67348dc020a5ac0465212caf,,PT629S,https://py-rates.org/xAPI/activities/programs/user-stopped,PzEgnMQ,1.5
,"[""Level 2""]",,"Ligne 1 : Eléments en trop détectés : 'droite'.",,,"while condition:droite()
	instructions",,2024-11-13T12:29:44.483+01:00,PT0.022S,,,https://py-rates.org/xAPI/verbs/launched,67348db0327b090478286464,,PT808S,https://py-rates.org/xAPI/activities/programs/syntactic-error,V8JfhDC,3
,"[""Level 2""]",,"Ligne 1 : Eléments en trop détectés : 'avancer'.",,,for computeur in range:(5)avancer(),,2024-11-13T12:29:40.768+01:00,PT0.01S,,,https://py-rates.org/xAPI/verbs/launched,67348db420a5ac0465212ca5,,PT345S,https://py-rates.org/xAPI/activities/programs/syntactic-error,hSEpfh6,1.2
,"[""Level 2""]",,,,,,,2024-11-13T12:29:40.344+01:00,,1.2,,https://py-rates.org/xAPI/verbs/changed,67348db420a5ac0465212ca4,,PT345S,https://py-rates.org/xAPI/activities/properties/execution-speed,hSEpfh6,
,"[""Level 3""]",,,,,"for compteur in range(nombre):
	instructions",,2024-11-13T12:29:37.300+01:00,,,,https://py-rates.org/xAPI/verbs/pasted,67348dd420a5ac0465212ce2,,PT758S,https://py-rates.org/xAPI/activities/properties/copied-text,nTVuGHu,
,"[""Level 1""]",,,,,"# Ecrire le code de son programme ci-dessous
avancer()
droite()
avancer()
gauche()
avancer()
if avancer:
	droite()
elif droite: 
	avancer(15)




",30,2024-11-13T12:29:36.638+01:00,PT8.382S,,,https://py-rates.org/xAPI/verbs/launched,67348db220a5ac0465212c8d,,PT1591S,https://py-rates.org/xAPI/activities/programs/fully-executed,CVXyicN,1
,"[""Level 1""]",,"Ligne 10 : Impossible d'ouvrir le coffre à cet emplacement",open-chest-location,,"# Ecrire le code de son programme ci-dedroite(1)
avancer()
droite()
avancer()
gauche()
avancer()
droite()
for _ in range(16):
	avancer()
	ouvrir()",,2024-11-13T12:29:36.395+01:00,PT4.476S,,,https://py-rates.org/xAPI/verbs/launched,67348dd7327b090478286533,,PT1618S,https://py-rates.org/xAPI/activities/programs/game-error,uzasR9C,3
,"[""Level 2""]",,,,,"for _ in range(nombre):
	instructions",,2024-11-13T12:29:35.836+01:00,,,,https://py-rates.org/xAPI/verbs/pasted,67348dc1327b0904782864a2,,PT152S,https://py-rates.org/xAPI/activities/properties/copied-text,qrCPbQ1,
,"[""Level 2""]",,"Ligne 1 : Eléments en trop détectés : 'avancer'.",,,for computeur in range:(5) avancer(),,2024-11-13T12:29:35.800+01:00,PT0.009S,,,https://py-rates.org/xAPI/verbs/launched,67348db420a5ac0465212ca3,,PT340S,https://py-rates.org/xAPI/activities/programs/syntactic-error,hSEpfh6,2.7
,"[""Level 4""]",,,,,,,2024-11-13T12:29:34.293+01:00,PT6.504S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd320a5ac0465212cb3,,PT99S,https://py-rates.org/xAPI/activities/contents/while-simple,Hj1hj2x,
,"[""Level 2""]",,,,,,,2024-11-13T12:29:33.620+01:00,PT4.351S,,,https://py-rates.org/xAPI/verbs/consulted,67348de6327b090478286542,,PT390S,https://py-rates.org/xAPI/activities/contents/for-simple,sRjKkFR,
,"[""Level 2""]",,,,,"for _ in range(nombre):
	instructions",,2024-11-13T12:29:33.614+01:00,,,,https://py-rates.org/xAPI/verbs/copied,67348dc1327b09047828649f,,PT150S,https://py-rates.org/xAPI/activities/contents/for-simple,qrCPbQ1,
,"[""Level 3""]",,,,,"for compteur in range(nombre):
	instructions",,2024-11-13T12:29:33.506+01:00,,,,https://py-rates.org/xAPI/verbs/copied,67348dd420a5ac0465212cdf,,PT755S,https://py-rates.org/xAPI/activities/contents/for-counter-0,nTVuGHu,
,"[""Level 3""]",,,,,,,2024-11-13T12:29:30.767+01:00,PT3.773S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd420a5ac0465212ce0,,PT756S,https://py-rates.org/xAPI/activities/contents/for-simple,nTVuGHu,
,"[""Level 2""]",,,,,,,2024-11-13T12:29:29.917+01:00,PT4.548S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc1327b0904782864a0,,PT150S,https://py-rates.org/xAPI/activities/contents/for-simple,qrCPbQ1,
,"[""Level 2""]",,,,,,,2024-11-13T12:29:29.917+01:00,PT4.548S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc1327b0904782864a1,,PT150S,https://py-rates.org/xAPI/activities/contents/for-counter-0,qrCPbQ1,
,"[""Level 2""]",,Ligne 2 : Impossible de mettre plusieurs instructions sur une même ligne.,,,"droite()
for _ in range(4):sauter()avancer()",,2024-11-13T12:29:29.641+01:00,PT0.022S,,,https://py-rates.org/xAPI/verbs/launched,67348dc020a5ac0465212cae,,PT602S,https://py-rates.org/xAPI/activities/programs/syntactic-error,PzEgnMQ,1.5
,"[""Level 3""]",,,,,,,2024-11-13T12:29:29.251+01:00,PT5.289S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd420a5ac0465212ce1,,PT756S,https://py-rates.org/xAPI/activities/contents/for-counter-0,nTVuGHu,
,"[""Level 2""]",,"Ligne 1 : Eléments en trop détectés : 'avancer'.",,,for computeur in range:(5) avancer (),,2024-11-13T12:29:29.001+01:00,PT0.012S,,,https://py-rates.org/xAPI/verbs/launched,67348db420a5ac0465212ca2,,PT334S,https://py-rates.org/xAPI/activities/programs/syntactic-error,hSEpfh6,2.7
,"[""Level 2""]",,,,,"while condition:
	instructions",,2024-11-13T12:29:28.155+01:00,,,,https://py-rates.org/xAPI/verbs/pasted,67348db0327b090478286463,,PT791S,https://py-rates.org/xAPI/activities/properties/copied-text,V8JfhDC,
,"[""Level 3""]",,"Ligne 2 : L'utilisation de la fonction coup n'est pas autorisée pour ce niveau.",not-allowed-function,,"for _ in range(4):
	coup()
",,2024-11-13T12:29:27.085+01:00,PT0.077S,,,https://py-rates.org/xAPI/verbs/launched,67348dae20a5ac0465212c4d,,PT38S,https://py-rates.org/xAPI/activities/programs/game-error,4DmPYa8,3
,"[""Level 3""]",,,,,,,2024-11-13T12:29:23.766+01:00,PT6.607S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd420a5ac0465212cde,,PT751S,https://py-rates.org/xAPI/activities/contents/for-counter-n,nTVuGHu,
,"[""Level 2""]",,,,,"while condition:
	instructions",,2024-11-13T12:29:23.270+01:00,,,,https://py-rates.org/xAPI/verbs/copied,67348db0327b090478286461,,PT786S,https://py-rates.org/xAPI/activities/contents/while-simple,V8JfhDC,
,"[""Level 2""]",,"Ligne 3 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(6):
	sauter()
	avancer()
	sauter()
	avancer()",,2024-11-13T12:29:20.216+01:00,PT18.492S,,,https://py-rates.org/xAPI/verbs/launched,67348db3327b09047828648d,,PT616S,https://py-rates.org/xAPI/activities/programs/game-error,aNNf7qf,2.9
,"[""Level 2""]",,"Ligne 1 : Cette instruction est inutile : elle n'a aucun effet.",,,for computeur in range:(5) ,,2024-11-13T12:29:18.858+01:00,PT0.019S,,,https://py-rates.org/xAPI/verbs/launched,67348db420a5ac0465212ca1,,PT323S,https://py-rates.org/xAPI/activities/programs/syntactic-error,hSEpfh6,2.7
,"[""Level 2""]",,,,,,,2024-11-13T12:29:17.365+01:00,PT7.685S,,,https://py-rates.org/xAPI/verbs/consulted,67348db0327b090478286462,,PT788S,https://py-rates.org/xAPI/activities/contents/while-simple,V8JfhDC,
,"[""Level 2""]",,,,,"for _ in range(6): 
	sauter()
	avancer()
	
avancer()
gauche()
avancer()
gauche()
for _ in range(9):
		coup()
		avancer()",92,2024-11-13T12:29:17.017+01:00,PT24.75S,,,https://py-rates.org/xAPI/verbs/launched,67348ddd20a5ac0465212cf3,,PT391S,https://py-rates.org/xAPI/activities/programs/fully-executed,s3MLpCY,3
,"[""Level 1""]",,Ligne 10 : Il y a un espace en trop.,,,"# Ecrire le code de son programme ci-dedroite(1)
avancer()
droite()
avancer()
gauche()
avancer()
droite()
for _ in range(16):
	avancer()
	if condition:devant coffre ouvrir()",,2024-11-13T12:29:14.919+01:00,PT0.013S,,,https://py-rates.org/xAPI/verbs/launched,67348dd7327b090478286532,,PT1592S,https://py-rates.org/xAPI/activities/programs/syntactic-error,uzasR9C,3
,"[""Level 3""]",,,,,"for _ in range(4):
	sauter()
	coup()",,2024-11-13T12:29:12.907+01:00,,,,https://py-rates.org/xAPI/verbs/pasted,67348dae20a5ac0465212c4c,,PT24S,https://py-rates.org/xAPI/activities/properties/copied-text,4DmPYa8,
,"[""Level 2""]",,"Ligne 2 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(6):
	avancer()
avancer()
gauche()
avancer()
coup()
avancer()
coup()
avancer()
avancer()
coup()
avancer()
coup()
avancer()

",,2024-11-13T12:29:12.113+01:00,PT0.187S,,,https://py-rates.org/xAPI/verbs/launched,67348de6327b090478286541,,PT365S,https://py-rates.org/xAPI/activities/programs/game-error,sRjKkFR,1
,"[""Level 2""]",,Ligne 9 : Cette ligne est trop décalée (indentation) par rapport à la précédente.,,,"for _ in range(6): 
	sauter()
	avancer()
	
avancer()
gauche()
avancer()
gauche()
	for _ in range(9):
		coup()
		avancer()",,2024-11-13T12:29:11.853+01:00,PT0.01S,,,https://py-rates.org/xAPI/verbs/launched,67348ddd20a5ac0465212cf2,,PT361S,https://py-rates.org/xAPI/activities/programs/syntactic-error,s3MLpCY,3
,"[""Level 2""]",,"Ligne 2 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(6):
	avancer()
avancer()
gauche()
avancer()
coup()
avancer()
coup()
avancer()
avancer()
coup()
avancer()
coup()
avancer()

",,2024-11-13T12:29:11.050+01:00,PT0.195S,,,https://py-rates.org/xAPI/verbs/launched,67348de6327b090478286540,,PT364S,https://py-rates.org/xAPI/activities/programs/game-error,sRjKkFR,1
,"[""Level 1""]",,Ligne 10 : Il y a un espace en trop.,,,"# Ecrire le code de son programme ci-dedroite(1)
avancer()
droite()
avancer()
gauche()
avancer()
droite()
for _ in range(16):
	avancer()
	if condition:devant coffre ouvrir()",,2024-11-13T12:29:07.378+01:00,PT0.019S,,,https://py-rates.org/xAPI/verbs/launched,67348dd7327b090478286531,,PT1584S,https://py-rates.org/xAPI/activities/programs/syntactic-error,uzasR9C,3
,"[""Level 2""]",,"Ligne 2 : Il faut utiliser des parenthèses pour appeler une fonction, même si elles sont vides : 'avancer()'.",,,"for _ in range(6):
	avancer
avancer()
gauche()
avancer()
coup()
avancer()
coup()
avancer()
avancer()
coup()
avancer()
coup()
avancer()

",,2024-11-13T12:29:04.945+01:00,PT0.025S,,,https://py-rates.org/xAPI/verbs/launched,67348de6327b09047828653f,,PT357S,https://py-rates.org/xAPI/activities/programs/syntactic-error,sRjKkFR,1
,"[""Level 3""]",,Ligne 1 : Le décalage des lignes (indentation) est incohérent.,,, sauter(),,2024-11-13T12:29:04.750+01:00,PT0.013S,,,https://py-rates.org/xAPI/verbs/launched,67348dae20a5ac0465212c4b,,PT16S,https://py-rates.org/xAPI/activities/programs/syntactic-error,4DmPYa8,3
,"[""Level 3""]",,,,,,,2024-11-13T12:29:03.999+01:00,PT7.678S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd420a5ac0465212cdd,,PT733S,https://py-rates.org/xAPI/activities/contents/for-counter-n,nTVuGHu,
,"[""Level 2""]",,,,,"for _ in range(4):
	sauter()
	coup()",,2024-11-13T12:29:02.506+01:00,,,,https://py-rates.org/xAPI/verbs/pasted,67348dc020a5ac0465212cad,,PT575S,https://py-rates.org/xAPI/activities/properties/copied-text,PzEgnMQ,
,"[""Level 3""]",,"Ligne 1 : L'utilisation de la fonction sauter n'est pas autorisée pour ce niveau.",not-allowed-function,,sauter(),,2024-11-13T12:29:01.010+01:00,PT0.044S,,,https://py-rates.org/xAPI/verbs/launched,67348dae20a5ac0465212c4a,,PT12S,https://py-rates.org/xAPI/activities/programs/game-error,4DmPYa8,3
,"[""Level 3""]",,,,,"sauter_hauteur(4)
avancer()
sauter_hauteur(3)
for _ in range(2):
	avancer()
lire_nombre()",24,2024-11-13T12:28:56.594+01:00,PT6.575S,,,https://py-rates.org/xAPI/verbs/launched,67348db4327b090478286492,,PT160S,https://py-rates.org/xAPI/activities/programs/fully-executed,e3fX5zy,3
,"[""Level 2""]",,Ligne 1 : Cette structure nécessite un corps. Vérifier le décalage des lignes (indentation).,,,for compteur in rang(4):,,2024-11-13T12:28:55.885+01:00,PT0.017S,,,https://py-rates.org/xAPI/verbs/launched,67348db0327b090478286460,,PT759S,https://py-rates.org/xAPI/activities/programs/syntactic-error,V8JfhDC,3
,"[""Level 2""]",,,,,"for _ in range(4):
	sauter()
	coup()",,2024-11-13T12:28:52.863+01:00,,,,https://py-rates.org/xAPI/verbs/copied,67348dc020a5ac0465212caa,,PT565S,https://py-rates.org/xAPI/activities/contents/for-simple,PzEgnMQ,
,"[""Level 2""]",,"Ligne 3 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(10):
	sauter()
	avancer()
	sauter()
	avancer()",,2024-11-13T12:28:51.337+01:00,PT18.048S,,,https://py-rates.org/xAPI/verbs/launched,67348db3327b09047828648c,,PT586S,https://py-rates.org/xAPI/activities/programs/game-error,aNNf7qf,2.9
,"[""Level 3""]",,,,,,,2024-11-13T12:28:48.669+01:00,,,,https://py-rates.org/xAPI/verbs/started,67348d7720a5ac0465212c49,,,https://py-rates.org/xAPI/activities/levels/level3,4DmPYa8,
,"[""Level 3""]",,,,,,,2024-11-13T12:28:47.745+01:00,PT16.219S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd420a5ac0465212cdb,,PT725S,https://py-rates.org/xAPI/activities/contents/for-simple,nTVuGHu,
,"[""Level 3""]",,,,,,,2024-11-13T12:28:46.945+01:00,PT24.731S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd420a5ac0465212cdc,,PT733S,https://py-rates.org/xAPI/activities/contents/for-counter-0,nTVuGHu,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:45.670+01:00,PT234S,,,https://py-rates.org/xAPI/verbs/completed,67348d7720a5ac0465212c48,,PT234S,https://py-rates.org/xAPI/activities/levels/level2,4DmPYa8,
,"[""Level 2""]",,,,,"for _ in range(6):
	sauter()
	avancer()
	
	
	",46,2024-11-13T12:28:45.569+01:00,PT12.83S,,,https://py-rates.org/xAPI/verbs/launched,67348dc1327b09047828649e,,PT114S,https://py-rates.org/xAPI/activities/programs/fully-executed,qrCPbQ1,3
,"[""Level 2""]",,"Ligne 5 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(6): 
	sauter()
	avancer()
	
	avancer()
	gauche()
	avancer()
	gauche()
	for _ in range(9):
		coup()
		avancer()",,2024-11-13T12:28:45.297+01:00,PT2.256S,,,https://py-rates.org/xAPI/verbs/launched,67348ddd20a5ac0465212cf1,,PT337S,https://py-rates.org/xAPI/activities/programs/game-error,s3MLpCY,3
,"[""Level 4""]",,,,,,,2024-11-13T12:28:42.823+01:00,PT3.464S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd320a5ac0465212cb2,,PT45S,https://py-rates.org/xAPI/activities/contents/var-usage,Hj1hj2x,
,"[""Level 4""]",,,,,,,2024-11-13T12:28:39.814+01:00,PT4.297S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd320a5ac0465212cb0,,PT43S,https://py-rates.org/xAPI/activities/contents/var-creation,Hj1hj2x,
,"[""Level 4""]",,,,,,,2024-11-13T12:28:39.814+01:00,PT6.473S,,,https://py-rates.org/xAPI/verbs/consulted,67348dd320a5ac0465212cb1,,PT45S,https://py-rates.org/xAPI/activities/contents/var-modification,Hj1hj2x,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:36.093+01:00,PT21.702S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc020a5ac0465212cab,,PT570S,https://py-rates.org/xAPI/activities/contents/for-simple,PzEgnMQ,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:36.093+01:00,PT21.702S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc020a5ac0465212cac,,PT570S,https://py-rates.org/xAPI/activities/contents/for-counter-0,PzEgnMQ,
,"[""Level 2""]",,,,,"for _ in range(6):
	sauter()
	
	
	",4,2024-11-13T12:28:34.665+01:00,PT2.742S,,,https://py-rates.org/xAPI/verbs/launched,67348dc1327b09047828649d,,PT93S,https://py-rates.org/xAPI/activities/programs/fully-executed,qrCPbQ1,3
,"[""Level 2""]",,"Ligne 3 : Cette instruction est inutile : elle n'a aucun effet.",,,"for _ in range(6):
	sauter()
	s
	
	",,2024-11-13T12:28:31.316+01:00,PT0.021S,,,https://py-rates.org/xAPI/verbs/launched,67348dc1327b09047828649c,,PT87S,https://py-rates.org/xAPI/activities/programs/syntactic-error,qrCPbQ1,3
,"[""Level 3""]",,,,,for _ in range(2):,,2024-11-13T12:28:30.710+01:00,,,,https://py-rates.org/xAPI/verbs/pasted,67348db4327b090478286491,,PT128S,https://py-rates.org/xAPI/activities/properties/copied-text,e3fX5zy,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:30.176+01:00,PT10.513S,,,https://py-rates.org/xAPI/verbs/consulted,67348db420a5ac0465212c9f,,PT285S,https://py-rates.org/xAPI/activities/contents/for-counter-0,hSEpfh6,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:30.176+01:00,PT10.513S,,,https://py-rates.org/xAPI/verbs/consulted,67348db420a5ac0465212ca0,,PT285S,https://py-rates.org/xAPI/activities/contents/for-counter-n,hSEpfh6,
,"[""Level 2""]",,,,,sauter(),,2024-11-13T12:28:25.219+01:00,,,,https://py-rates.org/xAPI/verbs/pasted,67348dc1327b09047828649b,,PT81S,https://py-rates.org/xAPI/activities/properties/copied-text,qrCPbQ1,
,"[""Level 2""]",,"Ligne 2 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(6):
	avancer()
avancer()
gauche()
avancer()
coup()
avancer()
coup()
avancer()
avancer()
coup()
avancer()
coup()
avancer()

",,2024-11-13T12:28:23.878+01:00,PT0.187S,,,https://py-rates.org/xAPI/verbs/launched,67348de6327b09047828653e,,PT317S,https://py-rates.org/xAPI/activities/programs/game-error,sRjKkFR,1
,"[""Level 2""]",,"Ligne 2 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(6):
	avancer()
avancer()
gauche()
avancer()
coup()
avancer()
coup()
avancer()
avancer()
coup()
avancer()
coup()
avancer()

",,2024-11-13T12:28:22.980+01:00,PT0.208S,,,https://py-rates.org/xAPI/verbs/launched,67348de6327b09047828653d,,PT316S,https://py-rates.org/xAPI/activities/programs/game-error,sRjKkFR,1
,"[""Level 2""]",,"Ligne 3 : Impossible d'avancer vers cet emplacement",walk-location,,"for _ in range(13):
	sauter()
	avancer()
	sauter()
	avancer()",,2024-11-13T12:28:22.697+01:00,PT18.21S,,,https://py-rates.org/xAPI/verbs/launched,67348db3327b09047828648b,,PT558S,https://py-rates.org/xAPI/activities/programs/game-error,aNNf7qf,2.9
,"[""Level 2""]",,,,,sauter(),,2024-11-13T12:28:22.571+01:00,,,,https://py-rates.org/xAPI/verbs/copied,67348dc1327b09047828649a,,PT79S,https://py-rates.org/xAPI/activities/contents/code-editor,qrCPbQ1,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:21.655+01:00,PT4.146S,,,https://py-rates.org/xAPI/verbs/consulted,67348db420a5ac0465212c9d,,PT270S,https://py-rates.org/xAPI/activities/contents/condi-3bran,hSEpfh6,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:20.943+01:00,PT6.203S,,,https://py-rates.org/xAPI/verbs/consulted,67348db420a5ac0465212c9e,,PT272S,https://py-rates.org/xAPI/activities/contents/condi-2bran,hSEpfh6,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:19.700+01:00,PT6.096S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc020a5ac0465212ca8,,PT538S,https://py-rates.org/xAPI/activities/contents/base-program,PzEgnMQ,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:16.833+01:00,PT4.76S,,,https://py-rates.org/xAPI/verbs/consulted,67348db420a5ac0465212c9c,,PT266S,https://py-rates.org/xAPI/activities/contents/condi-1bran,hSEpfh6,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:16.693+01:00,PT3.007S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc020a5ac0465212ca6,,PT532S,https://py-rates.org/xAPI/activities/contents/base-comment,PzEgnMQ,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:16.693+01:00,PT3.236S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc020a5ac0465212ca7,,PT532S,https://py-rates.org/xAPI/activities/contents/base-structure,PzEgnMQ,
,"[""Level 2""]",,,,,,,2024-11-13T12:28:16.693+01:00,PT9.103S,,,https://py-rates.org/xAPI/verbs/consulted,67348dc020a5ac0465212ca9,,PT538S,https://py-rates.org/xAPI/activities/contents/base-error,PzEgnMQ,
,"[""Level 2""]",,,,,"for _ in range(6):
	sauter()
	avancer()
avancer()
gauche()
for _ in range(2):
	avancer()
for _ in range(9):
	coup()
	avancer()
avancer()
ouvrir()",,2024-11-13T12:28:16.203+01:00,PT27.961S,,,https://py-rates.org/xAPI/verbs/launched,67348d7720a5ac0465212c47,,PT233S,https://py-rates.org/xAPI/activities/programs/level-completed,4DmPYa8,3
,"[""Level 1""]",,Ligne 10 : Il y a un espace en trop.,,,"# Ecrire le code de son programme ci-dedroite(1)
avancer()
droite()
avancer()
gauche()
avancer()
droite()
for _ in range(16):
	avancer()
	if condition:devant coffre ouvrir()",,2024-11-13T12:28:14.787+01:00,PT0.015S,,,https://py-rates.org/xAPI/verbs/launched,67348dd7327b090478286530,,PT1532S,https://py-rates.org/xAPI/activities/programs/syntactic-error,uzasR9C,3
